index,stem,label,label_str,pred_orig,prob_orig,pred_adv,prob_adv,correct_orig,correct_adv,pred_preserved,cos_sim,top10_overlap,delta_linf,pesq,stoi,visqol,peaq,zimtohrli,ok,lrp_cos_sim,lrp_top10_overlap,_file,model,attack,experiment,_folder,cdpam,cos_to_target,cos_orig_adv,top10_overlap_orig,top10_overlap_target,delta_l0_frac,target_mode,sparsity_ratio,fad_dist,kd,pred_preserved_calc,score_shift,abs_score_shift,margin_orig,margin_adv,margin_drop,margin_safety,near_boundary_adv_005,near_boundary_adv_010,near_boundary_adv_custom,cos_sim_norm,top10_overlap_norm,cos_change,top10_change,attribution_change,attr_changed_cos,attr_changed_top10,attr_changed_either,attr_changed_both,pesq_norm,stoi_norm,visqol_norm,peaq_norm,zimtohrli_norm,cdpam_norm,quality_score,aasr_cos_only,aasr_top10_only,aasr_either,aasr_strict,attribution_attack_success,quality_pass,aasr_quality,afs_simple,afs_quality,afs_stable,accuracy_drop_sample
0,fake_02868_suno_1,1,fake,1,0.999764,1,0.999763,1,1,1,0.049832,0.005853,0.01,3.756158,0.989188,4.073729,-1.961859,3.57782,True,0.09229,0.138344,sample_0000_fake_02868_suno_1.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-1.0000000000287557e-06,1.0000000000287557e-06,0.499764,0.49976299999999996,1.0000000000287557e-06,0.9995259999999999,0,0,0,0.049832,0.005853,0.950168,0.994147,0.9721575,1,1,1,1,0.7874737142857143,0.989188,0.76843225,0.50953525,0.715564,,0.7540386428571428,1,1,1,1,1,1,1,0.9721575,0.7330443219433929,0.7326968589347916,0
0,fake_05418_udio_0,1,fake,1,0.999277,1,0.581762,1,1,1,0.242935,0.051342,0.01,3.5838,0.985829,4.06789,-3.831314,2.983393,True,0.119909,0.169923,sample_0000_fake_05418_udio_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.41751499999999997,0.41751499999999997,0.49927699999999997,0.081762,0.41751499999999997,0.163524,0,1,1,0.242935,0.051342,0.757065,0.948658,0.8528614999999999,1,1,1,1,0.7382285714285715,0.985829,0.7669725000000001,0.04217150000000003,0.5966786,,0.6259760342857141,1,1,1,1,1,1,1,0.8528614999999999,0.5338708595649655,0.08730069843950142,0
0,fake_07770_udio_0,1,fake,1,0.999407,1,0.902673,1,1,1,0.249213,0.196381,0.01,1.725141,0.957396,3.027204,-3.990665,2.26366,True,0.148699,0.173817,sample_0000_fake_07770_udio_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.0967340000000001,0.0967340000000001,0.49940700000000005,0.40267299999999995,0.0967340000000001,0.8053459999999999,0,0,0,0.249213,0.196381,0.750787,0.803619,0.777203,1,1,1,1,0.20718314285714287,0.957396,0.506801,0.0023337500000000233,0.45273199999999997,,0.42528917857142856,1,1,1,1,1,0,0,0.777203,0.33053602545325,0.26619586595467304,0
0,fake_13018_udio_0,1,fake,1,0.999857,1,0.620886,1,1,1,0.151099,0.053785,0.01,,0.984693,4.288379,-3.701082,3.254086,True,0.227485,0.166054,sample_0000_fake_13018_udio_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.37897099999999995,0.37897099999999995,0.499857,0.12088600000000005,0.37897099999999995,0.2417720000000001,0,0,0,0.151099,0.053785,0.848901,0.946215,0.8975580000000001,1,1,1,1,,0.984693,0.82209475,0.0747295,0.6508172,,0.6330836125,1,1,1,1,1,0,0,0.8975580000000001,0.5682292610682751,0.13738192490699905,0
0,fake_14334_suno_1,1,fake,1,0.999799,1,0.994198,1,1,1,0.040845,0.005969,0.01,3.345855,0.908173,4.012089,-2.588503,3.513909,True,0.104205,0.116115,sample_0000_fake_14334_suno_1.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.005600999999999967,0.005600999999999967,0.499799,0.494198,0.005600999999999967,0.988396,0,0,0,0.040845,0.005969,0.959155,0.994031,0.976593,1,1,1,1,0.6702442857142856,0.908173,0.7530222499999999,0.35287424999999994,0.7027818,,0.677419117142857,1,1,1,1,1,1,1,0.976593,0.6615627678678941,0.6538859935095551,0
0,fake_19538_udio_0,1,fake,1,0.998059,0,0.37632,1,0,1,0.180089,0.011795,0.01,1.767478,0.94491,3.064832,-3.994598,2.658405,True,0.157984,0.130342,sample_0000_fake_19538_udio_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,0,-0.621739,0.621739,0.49805900000000003,0.12368000000000001,0.374379,0.24736000000000002,0,0,0,0.180089,0.011795,0.8199110000000001,0.988205,0.904058,1,1,1,1,0.2192794285714286,0.94491,0.516208,0.0013505000000000322,0.5316810000000001,,0.4426857857142858,0,0,0,0,0,0,0,0.0,0.0,0.0,1
0,fake_23853_udio_1,1,fake,1,0.999617,1,0.931371,1,1,1,0.12273,0.023871,0.01,3.461966,0.959283,4.005104,-3.968202,3.036021,True,0.065748,0.149167,sample_0000_fake_23853_udio_1.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.06824600000000003,0.06824600000000003,0.499617,0.43137099999999995,0.06824600000000003,0.8627419999999999,0,0,0,0.12273,0.023871,0.87727,0.976129,0.9266995,1,1,1,1,0.7034188571428571,0.959283,0.751276,0.007949500000000054,0.6072042,,0.6058263114285715,1,1,1,1,1,1,1,0.9266995,0.5614189398877014,0.48435969903659526,0
0,fake_24388_suno_1,1,fake,1,0.999271,1,0.988492,1,1,1,0.124771,0.04056,0.01,2.812762,0.901608,3.121501,-2.877711,2.814413,True,0.075976,0.109059,sample_0000_fake_24388_suno_1.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.010778999999999983,0.010778999999999983,0.499271,0.48849200000000004,0.010778999999999983,0.9769840000000001,0,0,0,0.124771,0.04056,0.875229,0.95944,0.9173344999999999,1,1,1,1,0.5179320000000001,0.901608,0.53037525,0.28057224999999997,0.5628826,,0.55867402,1,1,1,1,1,0,0,0.9173344999999999,0.5124909527996899,0.5006954610300522,0
0,fake_25170_suno_0,1,fake,1,0.999927,1,0.78177,1,1,1,0.034436,0.007791,0.01,4.374336,0.998432,4.976331,-0.403339,4.939245,True,0.062114,0.118703,sample_0000_fake_25170_suno_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.21815700000000005,0.21815700000000005,0.499927,0.28176999999999996,0.21815700000000005,0.5635399999999999,0,0,0,0.034436,0.007791,0.965564,0.992209,0.9788865,1,1,1,1,0.9640959999999998,0.998432,0.99408275,0.89916525,0.987849,,0.9687249999999998,1,1,1,1,1,1,1,0.9788865,0.9482718247124998,0.5343891040984821,0
0,fake_26837_udio_0,1,fake,1,0.993077,1,0.971992,1,1,1,0.170008,0.049256,0.01,3.233109,0.989715,3.877586,-3.981918,3.035408,True,0.159767,0.17512,sample_0000_fake_26837_udio_0.json,AST,Psychoacoustic,AST | Psychoacoustic,C:\Users\domin\Downloads\jsony\jsony\pertubacje\ast,,,,,,,,,,,1,-0.02108500000000002,0.02108500000000002,0.493077,0.47199199999999997,0.02108500000000002,0.9439839999999999,0,0,0,0.170008,0.049256,0.8299920000000001,0.950744,0.890368,1,1,1,1,0.6380311428571428,0.989715,0.7193965,0.004520500000000038,0.6070816,,0.5917489485714285,1,1,1,1,1,1,1,0.890368,0.5268743278416457,0.49736093549326804,0
