path,sample_rate,duration_sec,rms,rms_db,peak,peak_db,crest_factor,frame_rms_db_mean,frame_rms_db_std,dynamic_range_db,silence_ratio,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff85_mean,spectral_rolloff85_std,spectral_flatness_mean,spectral_flatness_std,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,spectral_flux_mean,spectral_flux_std,sample,group
C:\Users\domin\Downloads\original\fake_09896_suno_1\original.wav,16000,80.0,0.1848535612239025,-14.663443565599831,1.075214147567749,0.6298994030748944,5.816572536893608,-15.452571693414589,2.505851091779103,8.580841587368939,0.0,0.16154351871175812,0.05210881694086594,822.9031972555334,284.08244653719356,1319.7574900778611,230.96044171263677,1713.6334067253804,988.8536278133763,0.2782767574937261,0.02727746496589697,0.6809289966685925,0.26086093296047186,0.05821007037090467,0.6522380827881389,0.15998872021426347,fake_09896_suno_1,easy
C:\Users\domin\Downloads\original\fake_16796_suno_1\original.wav,16000,80.0,0.2545361463418835,-11.885010707241426,1.1290658712387085,1.0543855998983,4.435778129986118,-12.595044950802173,2.403448889660159,8.017257410303863,0.0,0.15778944736184047,0.060982508845385815,808.4312375537131,347.9367004106556,1265.6552978509935,363.678787614585,1515.168384707766,1122.7793828905183,0.2793772828808547,0.02948136716084307,0.6804446422406567,0.2748483969560273,0.04470696080329965,0.7073285174338415,0.16704112147898179,fake_16796_suno_1,easy
C:\Users\domin\Downloads\original\real_03067\original.wav,16000,184.55225,0.21489798963938306,-13.355352945881362,1.01498544216156,0.1291962649995429,4.723103477422325,-17.191628697694536,14.349774515713577,16.197532610766032,0.037121335284235626,0.14886549816257436,0.06170805633482888,894.2945364500839,469.921929228624,913.6596117492334,261.9579848037558,1686.521404406662,885.1811420463622,0.3640639997088345,0.11838187125743142,0.5170553446934923,0.47185698316546,0.011087672141037746,0.7390873325842884,0.1383157108596342,real_03067,easy
C:\Users\domin\Downloads\original\fake_31014_suno_0\original.wav,16000,80.0,0.2319587671524066,-12.691784163360879,1.1202174425125122,0.9860466126454936,4.8293817744412015,-13.813165406598678,3.3483213184604224,11.425969056550471,0.0,0.14668422744783938,0.09779993731517227,855.4310813601661,632.0888111359956,1259.7381135548117,570.758172622924,1519.9096777421937,1643.1462913498792,0.26743495188030764,0.04561520985535788,0.7608308620112763,0.19760479401112585,0.04156434397757812,0.6823221947796031,0.23268326726990368,fake_31014_suno_0,easy
C:\Users\domin\Downloads\original\fake_46574_suno_1\original.wav,16000,60.76,0.1478329560201203,-16.604574779956785,0.5361496210098267,-5.414279933334425,3.6267259712592708,-18.45277356537785,5.218915984730099,18.13762678233075,0.007243990780375371,0.09976497054291969,0.07026051185510804,482.6613169375661,343.58655687462993,950.6914644337272,478.7493490204335,762.0566323839662,902.0411793701121,0.2536254527382936,0.05935257125246381,0.8674984839318141,0.10852861937840128,0.02397289668972035,0.5888704093709252,0.25359533628274095,fake_46574_suno_1,easy
C:\Users\domin\Downloads\original\fake_27504_udio_1\original.wav,16000,131.1146875,0.2615748580314967,-11.648080034396056,1.1239782571792603,1.0151582019135006,4.296965945555911,-12.415847117688624,5.268827994481381,8.457382021388687,0.0009916851018384315,0.18138373624961784,0.06261875165274498,1046.7427125790366,431.2809309934852,1177.4823226390795,302.73263670462796,1949.3962200781632,943.3714054846973,0.2683809314269644,0.03419246962914814,0.5395067365115592,0.42340783272395666,0.03708543076447472,0.7252008871485992,0.12410676397264576,fake_27504_udio_1,easy
C:\Users\domin\Downloads\original\fake_35261_suno_1\original.wav,16000,120.0,0.10923840479794732,-19.232493009259663,0.4844708740711212,-6.294646544004858,4.434986715183064,-20.28473884054688,3.533933123006182,10.469316691026282,0.0036672778796466078,0.1047576434000487,0.058796909799921596,508.71776622767356,376.11359729267224,880.64190482913,353.9800762739411,738.0269477054429,806.1693399482109,0.2467576876138265,0.05177153489360233,0.7972518383813934,0.1832867384251923,0.0194614231933548,0.5967743438908422,0.2292109006475984,fake_35261_suno_1,easy
C:\Users\domin\Downloads\original\real_13937\original.wav,16000,127.059625,0.23609130134142534,-12.538400279519337,1.0302263498306274,0.25865307046593633,4.363677712701467,-15.581791772613787,22.023859550627616,9.538744898461752,0.021095717884130984,0.14617463053098742,0.0635646481753089,824.5459893167656,427.19037600604054,1075.9843744492255,271.0902110706245,1819.7415259576612,1052.0703497578586,0.47786176957734233,0.08256493082903957,0.6792626983575262,0.2973544260314141,0.02338287561104776,0.6528738589833399,0.14903934567114432,real_13937,easy
C:\Users\domin\Downloads\original\fake_25170_suno_0\original.wav,16000,215.56,0.126706184711185,-17.944043721212733,0.556684136390686,-5.087823088722039,4.39350405550607,-19.986997899705667,6.5426328194673955,14.655925469196395,0.018418854968915283,0.1224127173273259,0.07875685349640858,634.5321068673492,483.05641746158483,1125.6660675842936,519.7584431569652,1166.7285417285418,1281.4808427469843,0.2599589823625312,0.06662725517072517,0.7970234710389776,0.16398991845666422,0.03898661050433332,0.5311909182061209,0.24587703159324453,fake_25170_suno_0,easy
C:\Users\domin\Downloads\original\fake_29238_suno_1\original.wav,16000,239.0,0.09701600810021255,-20.263131983544973,0.5759836435317993,-4.791796985172669,5.936995912374593,-21.01574354171954,2.979292435823901,9.808505227757841,0.0,0.17299756211182404,0.05371779547072786,944.7495773764355,309.98630297910654,1315.544621573142,324.14370163474,1811.369876774712,911.9761424230092,0.2875571303481684,0.031032548014684705,0.5625417120111612,0.377014148939483,0.060444139049317815,0.6143313846540045,0.11079752336081497,fake_29238_suno_1,easy
C:\Users\domin\Downloads\original\fake_13581_udio_0\original.wav,16000,131.1146875,0.11230485375161278,-18.992029467470942,0.7678523063659668,-2.2944461383976265,6.837213893331859,-22.729909779556714,8.332126177813176,21.094869503608756,0.003509039591120604,0.08118205346304964,0.04440904389887637,540.9229245408405,262.21293109940103,454.4510729671166,314.8875760105084,790.1578529555447,680.126126118657,0.09107350054358299,0.044399084794350945,0.45092882082918756,0.5461875141677595,0.0028836650030015496,0.547786741599506,0.2904989370914944,fake_13581_udio_0,hard
C:\Users\domin\Downloads\original\real_06665\original.wav,16000,197.1374375,0.24839561719426684,-12.097121426361447,0.9357063174247742,-0.5772087674488615,3.7670001105100175,-13.996659934107752,9.291993867914476,12.24232499686271,0.018110795454545456,0.12187746659668651,0.05789348491862486,679.8155946320999,365.7484921542913,935.1633063442927,359.33421310907846,1267.7107015264696,899.4338562713573,0.4317297664480279,0.12106039876268986,0.6300915930768487,0.3461818229156137,0.02372658400753045,0.6175933971126892,0.18633951956513262,real_06665,hard
C:\Users\domin\Downloads\original\real_19284\original.wav,16000,289.8315,0.18076955910039066,-14.857494024534697,0.921994686126709,-0.7054316395022119,5.100386872159031,-21.30547059698294,22.951599398085516,26.112601970607688,0.04275214795900763,0.13240945433180273,0.08554050815056644,822.6528143640221,611.9895282524708,766.8357851849141,400.3905890843572,1413.7156229290922,1188.7374611166572,0.37154260968845515,0.14331034177066185,0.6144123141130775,0.36705795449042294,0.018529731396490525,0.6395585749638293,0.21114101812472885,real_19284,hard
C:\Users\domin\Downloads\original\fake_43253_udio_0\original.wav,16000,131.1146875,0.21408327004738992,-13.388345403292998,1.009636640548706,0.08330206183971858,4.716093136658902,-15.803752053451088,11.075451290235444,12.634115169296843,0.009154016324662445,0.09450546803349819,0.053950406974325064,550.0170608946373,357.0206971103422,625.1410403289358,280.16031106581516,929.8859611626771,753.3063352611059,0.16313323978409086,0.05143970291548393,0.5992779398405846,0.39253788953807656,0.008184170621324724,0.6225417311197402,0.2222638324012022,fake_43253_udio_0,hard
C:\Users\domin\Downloads\original\fake_05418_udio_0\original.wav,16000,131.1146875,0.20110392515801542,-13.931589054715523,1.0873231887817383,0.7271730021076228,5.4067725824942405,-17.131248288522414,11.057999644924491,19.4913429530356,0.00747577999847433,0.12236939132482971,0.059717667016901975,786.6417016703639,424.60718434629104,680.297412007594,291.48105934844784,1273.3764350268686,822.6014760876753,0.15563634179861846,0.0510458752715178,0.3805172844003779,0.6125133335776286,0.006969382021977199,0.8009091399741836,0.1928014910824384,fake_05418_udio_0,hard
C:\Users\domin\Downloads\original\real_06994\original.wav,16000,180.6976875,0.2217650233481831,-13.082138989229398,0.9297632575035095,-0.6325524063102927,4.192560411294157,-15.804744898955102,12.154778218956464,17.587166395034338,0.013227806065972991,0.1355168694372637,0.09955785737564385,810.809429130551,698.996139402955,1058.8960252769923,537.0510045917384,1602.4816176470588,1567.2635058292854,0.44244232666167504,0.1297436522968506,0.6921408416021838,0.2546835949073913,0.05317556349041533,0.6867887984053803,0.18612229851115442,real_06994,hard
C:\Users\domin\Downloads\original\fake_50637_suno_0\original.wav,16000,189.72,0.10021138907624057,-19.981658357422415,0.6118188500404358,-4.2675429320404765,6.105282599853598,-22.774882598084066,7.1521914899319015,18.227302043378472,0.022878228782287822,0.095106110029951,0.061766261115914156,487.48112988563514,356.88924973658044,769.6621727434785,435.4160591991563,780.7964900438744,869.2176877975264,0.2179006960050425,0.06498883629015699,0.7388159329896395,0.2437639382005826,0.01742012880973302,0.5279000530940621,0.22231428757356167,fake_50637_suno_0,hard
C:\Users\domin\Downloads\original\real_01021\original.wav,16000,183.8091875,0.31608397180299785,-10.003950521930351,1.0960350036621094,0.7964884854222855,3.467543758725468,-14.214883339610923,10.789155388244385,24.37522260197063,0.023831546874149845,0.06996707176832663,0.058269095347160973,435.3271834729243,401.1293214045479,701.1584266041249,454.18413652040095,616.0173937652386,749.3035597751705,0.3496406464576414,0.17689189935791408,0.8521380234030888,0.1326705163711027,0.015191460225803931,0.5329389623518543,0.2456134303638831,real_01021,hard
C:\Users\domin\Downloads\original\real_07265\original.wav,16000,156.131,0.28861087142492126,-10.793746277675888,1.0905566215515137,0.7529643802109762,3.7786401328663417,-14.378961721678621,13.65071439815968,21.32497592222496,0.0162065210428544,0.11134732610142999,0.0603730904731997,630.6040331351944,375.4688012260679,832.7282758615854,419.101455819788,1162.3833572600493,948.7822861272987,0.40791102163488624,0.1588960999314691,0.7103763289158437,0.2729847613617808,0.01663890972236908,0.5965177833571383,0.1953362749739669,real_07265,hard
C:\Users\domin\Downloads\original\fake_50028_suno_1\original.wav,16000,126.0,0.1272141469541208,-17.909291798519934,0.5028717517852783,-5.970855193262193,3.9529546345398496,-21.57023929012575,8.743966923108689,24.854405656401795,0.045165899349103034,0.11028822254079396,0.1058713855146828,664.3211108879592,758.7505484491558,801.6404007431446,466.98218091733776,1068.4735638027453,1310.380997572558,0.21931146590652859,0.06927863594217308,0.793418074482322,0.19173880880808536,0.014843116709550803,0.66898572038592,0.27341403067416514,fake_50028_suno_1,hard
